Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Juan Cala,Cádiz CF,31,Defender,Spain,1080000,3,La Liga
Anuar,Real Valladolid CF,26,midfield,Morocco,1080000,2,La Liga
Nikolas Nartey,VfB Stuttgart,21,midfield,Denmark,1080000,2,Bundesliga
Bruno Ecuele Manga,Dijon FCO,33,Defender,Gabon,1080000,1,Ligue 1
John Guidetti,Deportivo Alavés,29,attack,Sweden,1080000,1,La Liga
Javi Martínez,CA Osasuna,21,midfield,Spain,1080000,2,La Liga
Ángel Montoro,Granada CF,33,midfield,Spain,1080000,1,La Liga
Stanko Juric,Parma Calcio 1913,25,midfield,Croatia,1080000,4,Serie A
Roberto Soldado,Levante UD,36,attack,Spain,1080000,2,La Liga
Facundo Colidio,Inter Milan,21,attack,Argentina,1080000,2,Serie A
Jérémy Pied,LOSC Lille,32,Defender,France,1080000,1,Ligue 1
Ivan Saponjic,Atlético de Madrid,24,attack,Serbia,1080000,1,La Liga
Tomás Pina,Deportivo Alavés,33,midfield,Spain,1080000,1,La Liga
Álvaro Negredo,Cádiz CF,36,attack,Spain,1080000,1,La Liga
Sergio Álvarez,SD Eibar,29,midfield,Spain,1080000,1,La Liga
Kerim Calhanoglu,FC Schalke 04,19,midfield,Germany,1080000,3,Bundesliga
Hernâni,Levante UD,30,attack,Portugal,1080000,1,La Liga
Sergio Postigo,Levante UD,32,Defender,Spain,1080000,2,La Liga
Marvin Zeegelaar,Udinese Calcio,31,Defender,Netherlands,1080000,1,Serie A
Julien Ponceau,Nîmes Olympique,20,midfield,France,1080000,1,Ligue 1
Rober Pier,Levante UD,26,Defender,Spain,1080000,2,La Liga
Christopher Trimmel,1.FC Union Berlin,34,Defender,Austria,1080000,fail,Bundesliga
Bandiougou Fadiga,Paris Saint-Germain,20,midfield,France,1080000,1,Ligue 1
Edgar González,Real Betis Balompié,24,Defender,Spain,1080000,2,La Liga
Jérémy Le Douaron,Stade Brestois 29,23,attack,France,1080000,2,Ligue 1
Giacomo Calò,Benevento Calcio,24,midfield,Italy,1080000,1,Serie A
Lucas Deaux,Dijon FCO,32,midfield,France,1080000,2,Ligue 1
Aimar Sher,Spezia Calcio,18,midfield,Sweden,1080000,5,Serie A
Igor Silva,FC Lorient,25,Defender,Brazil,1080000,5,Ligue 1
Alfred Finnbogason,FC Augsburg,32,attack,Iceland,1080000,1,Bundesliga
Sergio Córdova,FC Augsburg,24,attack,Venezuela,1080000,4,Bundesliga
Houboulang Mendes,FC Lorient,23,Defender,France,1080000,1,Ligue 1
Vincent Le Goff,FC Lorient,31,Defender,France,1080000,1,Ligue 1
Pedro Bigas,Elche CF,31,Defender,Spain,1080000,2,La Liga
Abdoulaye Bamba,SCO Angers,31,Defender,Cote d'Ivoire,1080000,2,Ligue 1
Vincent Manceau,SCO Angers,32,Defender,France,1080000,1,Ligue 1
Sergio León,Real Valladolid CF,32,attack,Spain,1080000,1,La Liga
Mikel Balenziaga,Athletic Bilbao,33,Defender,Spain,1080000,1,La Liga
Asmir Begovic,Everton FC,34,Goalkeeper,Bosnia-Herzegovina,1080000,1,Premier League
Alberto Perea,Cádiz CF,30,attack,Spain,1080000,2,La Liga
Nick Woltemade,SV Werder Bremen,19,attack,Germany,1080000,2,Bundesliga
Iván Alejo,Cádiz CF,26,attack,Spain,1080000,4,La Liga
Pablo Insua,SD Huesca,27,Defender,Spain,1080000,2,La Liga
Mexer,FC Girondins Bordeaux,32,Defender,Mozambique,1080000,2,Ligue 1
Pablo Piatti,Elche CF,32,attack,Argentina,1080000,1,La Liga
Jimmy Briand,FC Girondins Bordeaux,36,attack,France,990000,1,Ligue 1
Mads Pedersen,FC Augsburg,25,Defender,Denmark,990000,3,Bundesliga
Aaron Lennon,Burnley FC,34,attack,England,990000,1,Premier League
Assane Dioussé,AS Saint-Étienne,23,midfield,Senegal,990000,1,Ligue 1
José Corpas,SD Eibar,30,attack,Spain,900000,3,La Liga
Yanis Rahmani,SD Eibar,26,attack,France,900000,4,La Liga
Martín Satriano,Inter Milan,20,attack,Uruguay,900000,3,Serie A
Alessandro Deiola,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",26,midfield,Italy,900000,3,UNKNOWN
Stoichkov,SD Eibar,27,midfield,Spain,900000,3,La Liga
Alberto Paleari,Benevento Calcio,29,Goalkeeper,Italy,900000,1,Serie A
Patryk Dziczek,SS Lazio,23,midfield,Poland,900000,3,Serie A
Neeskens Kebano,Fulham FC,29,attack,DR Congo,900000,1,Premier League
Diego González,Elche CF,26,Defender,Spain,900000,1,La Liga
Óscar Sielva,SD Eibar,30,midfield,Spain,900000,3,La Liga
Ashley Young,Aston Villa,36,Defender,England,900000,1,Premier League
Manolo Portanova,Genoa CFC,21,midfield,Italy,900000,3,Serie A
Gerard Gumbau,Elche CF,26,midfield,Spain,900000,2,La Liga
Ivor Pandur,Hellas Verona,21,Goalkeeper,Croatia,900000,4,Serie A
Destiny Udogie,Udinese Calcio,18,Defender,Italy,900000,1,Serie A
Josan,Elche CF,31,attack,Spain,900000,1,La Liga
Dimitry Bertaud,Montpellier HSC,23,Goalkeeper,France,900000,1,Ligue 1
Andrea Ranocchia,Inter Milan,33,Defender,Italy,900000,1,Serie A
Adrián,Liverpool FC,34,Goalkeeper,Spain,900000,1,Premier League
Helibelton Palacios,Elche CF,28,Defender,Colombia,900000,1,La Liga
Anaitz Arbilla,SD Eibar,34,Defender,Spain,900000,2,La Liga
Jayson Molumby,West Bromwich Albion,22,midfield,Ireland,900000,1,Premier League
Cédric Kipré,West Bromwich Albion,24,Defender,Cote d'Ivoire,900000,3,Premier League
Raoul Bellanova,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",21,Defender,Italy,900000,1,UNKNOWN
Bilal Benkhedim,AS Saint-Étienne,20,midfield,France,900000,1,Ligue 1
Álvaro Tejero,SD Eibar,25,Defender,Spain,900000,3,La Liga
Anastasios Donis,Stade Reims,25,attack,Greece,900000,3,Ligue 1
David Button,West Bromwich Albion,32,Goalkeeper,England,900000,1,Premier League
Josema,Elche CF,25,Defender,Spain,900000,2,La Liga
Stefan Bajic,AS Saint-Étienne,19,Goalkeeper,France,900000,1,Ligue 1
Thomas Fontaine,FC Lorient,30,Defender,Madagascar,900000,1,Ligue 1
Víctor Díaz,Granada CF,33,Defender,Spain,900000,1,La Liga
Daam Foulon,Benevento Calcio,22,Defender,Belgium,900000,2,Serie A
Ignasi Miquel,SD Huesca,28,Defender,Spain,900000,1,La Liga
Kristoffer Askildsen,UC Sampdoria,20,midfield,Norway,900000,3,Serie A
Kelechi Nwakali,SD Huesca,23,midfield,Nigeria,900000,1,La Liga
Kiko Olivas,Real Valladolid CF,33,Defender,Spain,900000,1,La Liga
Ilan Kebbal,Stade Reims,23,midfield,France,900000,3,Ligue 1
Julio Buffarini,SD Huesca,33,Defender,Argentina,900000,2,La Liga
Ricardo Mangas,FC Girondins Bordeaux,23,Defender,Portugal,900000,1,Ligue 1
Martín Cáceres,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",34,Defender,Uruguay,900000,1,UNKNOWN
Dante,OGC Nice,37,Defender,Brazil,900000,1,Ligue 1
Gaëtan Paquiez,Nîmes Olympique,27,Defender,France,900000,1,Ligue 1
Abdoulaye Kamara,Borussia Dortmund,16,midfield,Guinea,900000,fail,Bundesliga
Paul Baysse,FC Girondins Bordeaux,33,Defender,France,900000,3,Ligue 1
Kike Pérez,Real Valladolid CF,24,midfield,Spain,900000,4,La Liga
Paul Lasne,Stade Brestois 29,32,midfield,France,900000,0,Ligue 1
Stian Gregersen,FC Girondins Bordeaux,26,Defender,Norway,900000,4,Ligue 1
Cheikh Sabaly,FC Metz,22,attack,Senegal,900000,1,Ligue 1
Gaëtan Poussin,FC Girondins Bordeaux,22,Goalkeeper,France,900000,2,Ligue 1
Juan Carlos Real,SD Huesca,30,midfield,Spain,900000,2,La Liga
David Ferreiro,SD Huesca,33,attack,Spain,900000,2,La Liga
Dimitri Liénard,RC Strasbourg Alsace,33,midfield,France,900000,2,Ligue 1
Isidro Pitta,SD Huesca,22,attack,Paraguay,900000,4,La Liga
Emrehan Gedikli,Bayer 04 Leverkusen,18,attack,Germany,900000,1,Bundesliga
Aarón Escandell,Granada CF,25,Goalkeeper,Spain,900000,2,La Liga
Pablo Martinez,Nîmes Olympique,32,Defender,France,900000,1,Ligue 1
Thomas Mangani,SCO Angers,34,midfield,France,900000,1,Ligue 1
Gabriele Moncini,Benevento Calcio,25,attack,Italy,900000,2,Serie A
Kevin Long,Burnley FC,31,Defender,Ireland,900000,2,Premier League
Wayne Hennessey,Burnley FC,34,Goalkeeper,Wales,900000,2,Premier League
Enzo Ebosse,SCO Angers,22,Defender,France,900000,2,Ligue 1
Ismaël Traoré,SCO Angers,35,Defender,Cote d'Ivoire,900000,1,Ligue 1
Musa Juwara,FC Crotone,19,attack,The Gambia,900000,1,Serie A
Brian Oddei,FC Crotone,18,attack,Italy,900000,1,Serie A
Dani Escriche,SD Huesca,23,attack,Spain,900000,1,La Liga
Jonás Ramalho,CA Osasuna,28,Defender,Angola,900000,1,La Liga
Fabio Quagliarella,UC Sampdoria,38,attack,Italy,900000,1,Serie A
Luka Romero,SS Lazio,16,midfield,Argentina,900000,3,Serie A
Senou Coulibaly,Dijon FCO,26,Defender,Mali,900000,2,Ligue 1
Marvin Schwäbe,1. FC Köln,26,Goalkeeper,Germany,900000,3,Bundesliga
Ralf Fährmann,FC Schalke 04,32,Goalkeeper,Germany,900000,4,Bundesliga
Gianluigi Buffon,Parma Calcio 1913,43,Goalkeeper,Italy,900000,2,Serie A
Mattéo Ahlinvi,Dijon FCO,22,midfield,Benin,900000,3,Ligue 1
Noah Joel Sarenren Bazee,FC Augsburg,25,attack,Nigeria,900000,3,Bundesliga
Lasse Günther,FC Augsburg,18,attack,Germany,900000,4,Bundesliga
Anderson Lucoqui,1.FSV Mainz 05,24,Defender,Angola,900000,3,Bundesliga
Ömer Beyaz,VfB Stuttgart,18,midfield,Turkey,900000,4,Bundesliga
Alexandru Dobre,Dijon FCO,23,attack,Romania,900000,3,Ligue 1
Lilian Egloff,VfB Stuttgart,19,midfield,Germany,900000,3,Bundesliga
Daan Dierckx,Parma Calcio 1913,18,Defender,Belgium,900000,4,Serie A
Mohamed Sankoh,VfB Stuttgart,17,attack,Netherlands,900000,2,Bundesliga
Marc-Aurèle Caillard,FC Metz,27,Goalkeeper,France,900000,1,Ligue 1
Claudio Bravo,Real Betis Balompié,38,Goalkeeper,Chile,900000,1,La Liga
Enzo Millot,VfB Stuttgart,19,midfield,France,900000,4,Bundesliga
Clinton Mola,VfB Stuttgart,20,midfield,England,900000,3,Bundesliga
Fabian Kunze,Arminia Bielefeld,23,midfield,Germany,900000,1,Bundesliga
Woyo Coulibaly,Parma Calcio 1913,22,Defender,France,900000,4,Serie A
Matías Dituro,Celta de Vigo,34,Goalkeeper,Argentina,900000,1,La Liga
Darko Churlinov,FC Schalke 04,21,attack,North Macedonia,900000,1,Bundesliga
Jose Fontán,Celta de Vigo,21,Defender,Spain,900000,4,La Liga
Simon Terodde,FC Schalke 04,33,attack,Germany,900000,1,Bundesliga
Gary Medel,Bologna FC 1909,34,midfield,Chile,900000,1,Serie A
Aurélien Scheidler,Dijon FCO,23,attack,France,900000,3,Ligue 1
Gianmarco Cangiano,Bologna FC 1909,19,attack,Italy,900000,3,Serie A
Christopher Rocchia,Dijon FCO,23,Defender,France,900000,2,Ligue 1
Pasquale Schiattarella,Parma Calcio 1913,34,midfield,Italy,900000,2,Serie A
Tom Heaton,Manchester United,35,Goalkeeper,England,900000,2,Premier League
Henrique,Olympique Lyon,27,Defender,Brazil,855000,3,Ligue 1
Jean Onana,FC Girondins Bordeaux,21,midfield,Cameroon,810000,5,Ligue 1
Filippo Melegoni,Genoa CFC,22,midfield,Italy,810000,1,Serie A
Alessio Riccardi,AS Roma,20,midfield,Italy,810000,2,Serie A
Miguel Veloso,Hellas Verona,35,midfield,Portugal,810000,1,Serie A
Nicola Zalewski,AS Roma,19,midfield,Poland,810000,3,Serie A
Rober Correa,SD Eibar,28,Defender,Spain,810000,3,La Liga
Antonio Sivera,Deportivo Alavés,25,Goalkeeper,Spain,810000,1,La Liga
Jean-Philippe Krasso,AS Saint-Étienne,24,attack,France,810000,2,Ligue 1
Michael Verrips,Sheffield United,24,Goalkeeper,Netherlands,810000,2,Premier League
Sven Ulreich,Bayern Munich,33,Goalkeeper,Germany,810000,1,Bundesliga
Luis Pérez,Real Valladolid CF,26,Defender,Spain,810000,2,La Liga
Luis Binks,Bologna FC 1909,20,Defender,England,810000,3,Serie A
Dani Raba,Villarreal CF,25,attack,Spain,810000,2,La Liga
Yoel Rodríguez,SD Eibar,33,Goalkeeper,Spain,810000,3,La Liga
Giuseppe Cuomo,FC Crotone,23,Defender,Italy,810000,1,Serie A
Kevin Behrens,1.FC Union Berlin,30,attack,Germany,810000,2,Bundesliga
Varazdat Haroyan,Cádiz CF,29,Defender,Armenia,810000,2,La Liga
Deiver Machado,RC Lens,28,Defender,Colombia,810000,3,Ligue 1
Andreas Luthe,1.FC Union Berlin,34,Goalkeeper,Germany,810000,fail,Bundesliga
Jessy Pi,Dijon FCO,27,midfield,France,810000,2,Ligue 1
Fernando Forestieri,Udinese Calcio,31,attack,Italy,810000,1,Serie A
Samuele Mulattieri,FC Crotone,20,attack,Italy,765000,1,Serie A
Dion Lopy,Stade Reims,19,midfield,Senegal,720000,2,Ligue 1
David Costa,RC Lens,20,midfield,Portugal,720000,3,Ligue 1
Daniel Fuzato,AS Roma,24,Goalkeeper,Brazil,720000,2,Serie A
John Ruddy,Wolverhampton Wanderers,34,Goalkeeper,England,720000,1,Premier League
Jaume Grau,CA Osasuna,24,midfield,Spain,720000,1,La Liga
Sam McQueen,Southampton FC,26,Defender,England,720000,1,Premier League
Jason Steele,Brighton &amp; Hove Albion,31,Goalkeeper,England,720000,2,Premier League
David Gil,Cádiz CF,27,Goalkeeper,Spain,720000,2,La Liga
Kevin Vázquez,Celta de Vigo,28,Defender,Spain,720000,2,La Liga
Cheikh Niasse,LOSC Lille,21,midfield,France,720000,2,Ligue 1
Makoto Hasebe,Eintracht Frankfurt,37,midfield,Japan,720000,1,Bundesliga
Daniel Maldini,AC Milan,19,midfield,Italy,720000,3,Serie A
Marcin Bulka,OGC Nice,21,Goalkeeper,Poland,720000,1,Ligue 1
Tachi,Deportivo Alavés,23,Defender,Spain,720000,2,La Liga
Federico Fazio,AS Roma,34,Defender,Argentina,720000,1,Serie A
Coke,Levante UD,34,Defender,Spain,720000,1,La Liga
Cheick Traoré,Dijon FCO,26,Defender,Mali,720000,3,Ligue 1
Alpha Sissoko,AS Saint-Étienne,24,Defender,France,720000,1,Ligue 1
Paul Nebel,1.FSV Mainz 05,18,attack,Germany,720000,3,Bundesliga
Fabien Lemoine,FC Lorient,34,midfield,France,720000,1,Ligue 1
Michael Zetterer,SV Werder Bremen,26,Goalkeeper,Germany,720000,1,Bundesliga
Jean-Louis Leca,RC Lens,35,Goalkeeper,France,720000,1,Ligue 1
Anthony Jung,SV Werder Bremen,29,Defender,Germany,720000,2,Bundesliga
Kiko Casilla,Elche CF,34,Goalkeeper,Spain,720000,1,La Liga
Kingsley Schindler,1. FC Köln,28,attack,Germany,720000,2,Bundesliga
Chema,Getafe CF,29,Defender,Spain,720000,2,La Liga
Jordan Marié,Dijon FCO,29,midfield,France,720000,1,Ligue 1
Gonzalo Verdú,Elche CF,32,Defender,Spain,720000,2,La Liga
Jed Steer,Aston Villa,28,Goalkeeper,England,720000,2,Premier League
Antonio Barragán,Elche CF,34,Defender,Spain,720000,1,La Liga
Benno Schmitz,1. FC Köln,26,Defender,Germany,720000,1,Bundesliga
Andrea Masiello,Genoa CFC,35,Defender,Italy,720000,1,Serie A
Pierrick Capelle,SCO Angers,34,midfield,France,720000,1,Ligue 1
Daniel Brosinski,1.FSV Mainz 05,33,Defender,Germany,720000,1,Bundesliga
Gabriele Corbo,Bologna FC 1909,21,Defender,Italy,720000,2,Serie A
Iván Martín,Deportivo Alavés,22,midfield,Spain,720000,1,La Liga
Tom Lacoux,FC Girondins Bordeaux,19,midfield,France,720000,3,Ligue 1
Pepe Reina,SS Lazio,39,Goalkeeper,Spain,720000,1,Serie A
Amadou Traoré,FC Girondins Bordeaux,19,attack,France,720000,1,Ligue 1
Sékou Mara,FC Girondins Bordeaux,19,attack,France,720000,2,Ligue 1
Botond Balogh,Parma Calcio 1913,19,Defender,Hungary,720000,4,Serie A
Bingourou Kamara,RC Strasbourg Alsace,24,Goalkeeper,Senegal,720000,2,Ligue 1
David Strelec,Spezia Calcio,20,attack,Slovakia,720000,5,Serie A
Raúl Moro,SS Lazio,18,attack,Spain,720000,1,Serie A
Moïse Sahi Dion,RC Strasbourg Alsace,19,attack,Cote d'Ivoire,720000,4,Ligue 1
Simone Iacoponi,Parma Calcio 1913,34,Defender,Italy,720000,2,Serie A
Rémy Descamps,FC Nantes,25,Goalkeeper,France,720000,3,Ligue 1
Vanja Milinković-Savić,Torino FC,24,Goalkeeper,Serbia,720000,3,Serie A
Molla Wagué,FC Nantes,30,Defender,Mali,720000,1,Ligue 1
Álex Petxa,Athletic Bilbao,24,Defender,Spain,720000,3,La Liga
Ramon Azeez,Granada CF,28,midfield,Nigeria,720000,1,La Liga
Fran Sol,SD Eibar,29,attack,Spain,720000,1,La Liga
Fabian Klos,Arminia Bielefeld,33,attack,Germany,720000,1,Bundesliga
Giorgi Mamardashvili,Valencia CF,20,Goalkeeper,Georgia,720000,1,La Liga
Victor Pálsson,FC Schalke 04,30,midfield,Iceland,720000,2,Bundesliga
Naomichi Ueda,Nîmes Olympique,26,Defender,Japan,720000,2,Ligue 1
Carlos Akapo,Cádiz CF,28,Defender,Equatorial Guinea,720000,1,La Liga
Dries Wouters,FC Schalke 04,24,midfield,Belgium,720000,3,Bundesliga
Enric Franquesa,Levante UD,24,Defender,Spain,720000,4,La Liga
Nicolás Schiappacasse,US Sassuolo,22,attack,Uruguay,720000,2,Serie A
Cristian Glauder,SD Eibar,25,Defender,Spain,720000,2,La Liga
Germán Sánchez,Granada CF,34,Defender,Spain,720000,1,La Liga
Vito Mannone,AS Monaco,33,Goalkeeper,Italy,720000,1,Ligue 1
Toño García,SD Eibar,31,Defender,Spain,720000,1,La Liga
Xabi Etxeita,SD Eibar,33,Defender,Spain,720000,1,La Liga
Frederico Venâncio,SD Eibar,28,Defender,Portugal,720000,3,La Liga
Marcin Kaminski,FC Schalke 04,29,Defender,Poland,720000,2,Bundesliga
Mehmet Aydin,FC Schalke 04,19,midfield,Germany,720000,1,Bundesliga
Anthony Ujah,1.FC Union Berlin,30,attack,Nigeria,720000,1,Bundesliga
Son,Levante UD,27,Defender,Spain,720000,3,La Liga
Gustavo Blanco Leschuk,SD Eibar,29,attack,Argentina,720000,1,La Liga
Guilherme Ramos,Arminia Bielefeld,24,Defender,Portugal,720000,4,Bundesliga
Ager Aketxe,SD Eibar,27,midfield,Spain,720000,2,La Liga
Peter Pekarik,Hertha BSC,34,Defender,Slovakia,720000,1,Bundesliga
Joshua Brenet,TSG 1899 Hoffenheim,27,Defender,Netherlands,720000,1,Bundesliga
Karim Aribi,Nîmes Olympique,27,attack,Algeria,720000,3,Ligue 1
Pietro Terracciano,ACF Fiorentina,31,Goalkeeper,Italy,720000,2,Serie A
Óscar Duarte,Levante UD,32,Defender,Costa Rica,720000,1,La Liga
Quique González,SD Eibar,31,attack,Spain,720000,3,La Liga
Tomas Ostrak,1. FC Köln,21,midfield,Czech Republic,675000,1,Bundesliga
Soumaïla Coulibaly,Borussia Dortmund,17,Defender,France,675000,3,Bundesliga
Fabio Blanco,Eintracht Frankfurt,17,attack,Spain,675000,2,Bundesliga
Lukasz Teodorczyk,Udinese Calcio,30,attack,Poland,675000,1,Serie A
Federico Mattiello,Atalanta BC,26,Defender,Italy,675000,1,Serie A
Elías Már Ómarsson,Nîmes Olympique,26,attack,Iceland,675000,3,Ligue 1
Tom Bischof,TSG 1899 Hoffenheim,16,midfield,Germany,675000,1,Bundesliga
Samuel Moutoussamy,FC Nantes,25,midfield,DR Congo,675000,3,Ligue 1
Andrés Tello,Benevento Calcio,24,midfield,Colombia,675000,1,Serie A
Sidney Raebiger,RB Leipzig,16,midfield,Germany,675000,3,Bundesliga
Damir Ceter,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",23,attack,Colombia,675000,1,UNKNOWN
Hugo Magnetti,Stade Brestois 29,23,midfield,France,630000,3,Ligue 1
Riza Durmisi,SS Lazio,27,Defender,Denmark,630000,2,Serie A
Frederik Winther,FC Augsburg,20,Defender,Denmark,630000,4,Bundesliga
Niklas Tauer,1.FSV Mainz 05,20,midfield,Germany,630000,2,Bundesliga
Michele Cerofolini,ACF Fiorentina,22,Goalkeeper,Italy,630000,2,Serie A
Sebastien De Maio,Udinese Calcio,34,Defender,France,630000,1,Serie A
Danijel Petkovic,SCO Angers,28,Goalkeeper,Montenegro,630000,1,Ligue 1
Vasile Mogos,FC Crotone,28,Defender,Romania,630000,3,Serie A
Romain Philippoteaux,Stade Brestois 29,33,attack,France,630000,1,Ligue 1
Niklas Hauptmann,1. FC Köln,25,midfield,Germany,630000,2,Bundesliga
Miguel San Román,SD Huesca,24,Goalkeeper,Spain,630000,2,La Liga
Stefanos Kapino,Arminia Bielefeld,27,Goalkeeper,Greece,630000,2,Bundesliga
Emmanuel Rivière,FC Crotone,31,attack,Martinique,630000,1,Serie A
Jacob Barrett Laursen,Arminia Bielefeld,26,Defender,Denmark,630000,2,Bundesliga
Rey Manaj,Spezia Calcio,24,attack,Albania,630000,1,Serie A
Roberto Olabe,SD Eibar,25,midfield,Spain,630000,2,La Liga
Bamba Dieng,Olympique Marseille,21,attack,Senegal,630000,fail,Ligue 1
Nicolai Rapp,SV Werder Bremen,24,midfield,Germany,630000,3,Bundesliga
Florian Flick,FC Schalke 04,21,midfield,Germany,630000,2,Bundesliga
Javi Muñoz,SD Eibar,26,midfield,Spain,630000,2,La Liga
Martin Fraisl,FC Schalke 04,28,Goalkeeper,Austria,630000,1,Bundesliga
Dilane Bakwa,FC Girondins Bordeaux,19,attack,France,630000,1,Ligue 1
Marcel Schmelzer,Borussia Dortmund,33,Defender,Germany,630000,1,Bundesliga
Pedro Mosquera,SD Huesca,33,midfield,Spain,630000,1,La Liga
Per Kristian Bratveit,Nîmes Olympique,25,Goalkeeper,Norway,630000,1,Ligue 1
Francesco Bardi,Bologna FC 1909,29,Goalkeeper,Italy,630000,1,Serie A
Roberto,Real Valladolid CF,35,Goalkeeper,Spain,630000,2,La Liga
Valentin Jacob,Dijon FCO,27,midfield,France,630000,3,Ligue 1
Magnus Warming,Torino FC,21,attack,Denmark,630000,3,Serie A
Saúl García,Deportivo Alavés,26,Defender,Spain,630000,2,La Liga
Oier Sanjurjo,CA Osasuna,35,midfield,Spain,630000,1,La Liga
Tobias Raschl,Borussia Dortmund,21,midfield,Germany,630000,1,Bundesliga
Nehuén Paz,FC Crotone,28,Defender,Argentina,585000,1,Serie A
Nathan de Medina,Arminia Bielefeld,23,Defender,Belgium,585000,2,Bundesliga
Jaroslaw Jach,Crystal Palace,27,Defender,Poland,585000,1,Premier League
Vincent Laurini,Parma Calcio 1913,32,Defender,France,540000,2,Serie A
Christopher Wooh,RC Lens,19,Defender,France,540000,4,Ligue 1
Álvaro Jiménez,Cádiz CF,26,attack,Spain,540000,4,La Liga
Javi López,Deportivo Alavés,19,Defender,Spain,540000,2,La Liga
Pablo Martínez,Levante UD,23,midfield,Spain,540000,3,La Liga
Fabri,Fulham FC,33,Goalkeeper,Spain,540000,0,Premier League
Denis Odoi,Fulham FC,33,Defender,Belgium,540000,1,Premier League
Bastian Oczipka,1.FC Union Berlin,32,Defender,Germany,540000,fail,Bundesliga
Iñigo Pérez,CA Osasuna,33,midfield,Spain,540000,1,La Liga
Mattia Sprocati,Parma Calcio 1913,28,attack,Italy,540000,2,Serie A
Bobby Adekanye,SS Lazio,22,attack,Netherlands,540000,1,Serie A
Juan Pérez,CA Osasuna,25,Goalkeeper,Spain,540000,3,La Liga
Joaquín Muñoz,SD Huesca,22,attack,Spain,540000,2,La Liga
Matthieu Dreyer,FC Lorient,32,Goalkeeper,France,540000,2,Ligue 1
Christian Früchtl,Bayern Munich,21,Goalkeeper,Germany,540000,1,Bundesliga
Hugo Ekitike,Stade Reims,19,attack,France,540000,2,Ligue 1
Tim Ream,Fulham FC,33,Defender,United States,540000,1,Premier League
Lucas Dias,Nîmes Olympique,22,Goalkeeper,France,540000,3,Ligue 1
Dani Cárdenas,Levante UD,24,Goalkeeper,Spain,540000,1,La Liga
Gabriel Brazão,Inter Milan,20,Goalkeeper,Brazil,540000,3,Serie A
Simone Colombi,Parma Calcio 1913,30,Goalkeeper,Italy,540000,2,Serie A
Julian Pollersbeck,Olympique Lyon,27,Goalkeeper,Germany,540000,3,Ligue 1
Ciprian Tatarusanu,AC Milan,35,Goalkeeper,Romania,540000,2,Serie A
Pavao Pervan,VfL Wolfsburg,33,Goalkeeper,Austria,540000,1,Bundesliga
Moritz Jenz,FC Lorient,22,Defender,Germany,540000,5,Ligue 1
Koba Koindredi,Valencia CF,19,midfield,Neukaledonien,540000,4,La Liga
Miguel Atienza,SD Eibar,22,midfield,Spain,540000,2,La Liga
Jon Ander Garrido,Cádiz CF,31,midfield,Spain,540000,2,La Liga
Andrés Fernández,SD Huesca,34,Goalkeeper,Spain,540000,2,La Liga
Raúl Carnero,Real Valladolid CF,32,Defender,Spain,540000,2,La Liga
Adam Jakubech,LOSC Lille,24,Goalkeeper,Slovakia,540000,4,Ligue 1
Franchu,SD Eibar,23,attack,Argentina,540000,3,La Liga
Hiroki Ito,VfB Stuttgart,22,Defender,Japan,495000,1,Bundesliga
Luca Plogmann,SV Werder Bremen,21,Goalkeeper,Germany,495000,1,Bundesliga
Alexis Flips,Stade Reims,21,attack,France,473000,3,Ligue 1
Daniel Congré,Dijon FCO,36,Defender,France,450000,2,Ligue 1
Louis Munteanu,ACF Fiorentina,19,attack,Romania,450000,4,Serie A
Goran Pandev,Genoa CFC,38,attack,North Macedonia,450000,1,Serie A
Jonas Michelbrink,Hertha BSC,20,midfield,Germany,450000,1,Bundesliga
Jules Keita,RC Lens,23,attack,Guinea,450000,2,Ligue 1
El Chadaille Bitshiabu,Paris Saint-Germain,16,Defender,France,450000,3,Ligue 1
Jacopo Sala,Spezia Calcio,29,Defender,Italy,450000,1,Serie A
Orestis Karnezis,LOSC Lille,36,Goalkeeper,Greece,450000,2,Ligue 1
Batista Mendy,SCO Angers,21,midfield,France,450000,3,Ligue 1
Jan Morávek,FC Augsburg,31,midfield,Czech Republic,450000,1,Bundesliga
Marco Sau,Benevento Calcio,33,attack,Italy,450000,1,Serie A
Mickaël Nade,AS Saint-Étienne,22,Defender,France,450000,3,Ligue 1
Malo Gusto,Olympique Lyon,18,Defender,France,450000,3,Ligue 1
Miguel de la Fuente,Deportivo Alavés,21,attack,Spain,450000,4,La Liga
Ander Cantero,SD Eibar,26,Goalkeeper,Spain,450000,3,La Liga
Lenny Lacroix,FC Metz,18,Defender,France,450000,2,Ligue 1
Sydney van Hooijdonk,Bologna FC 1909,21,attack,Netherlands,450000,4,Serie A
Benjamin Uphoff,SC Freiburg,28,Goalkeeper,Germany,450000,fail,Bundesliga
